title,price,type
JVC projector DLA-X500RBE,600.0,"0 bids · Time left6h 26m left (Sun, 01:18)"
JVC DLA-HD750 D-ILA Projector,400.0,"0 bids · Time left11h 38m left (Sun, 06:30)"
JVC DLA-X500R-BE,1305.0,"0 bids · Time left2d 14h left (Tue, 09:50)"
"JVC DLA X30 Home Cinema Projector only used ten hours on new bulb,",150.0,"1 bid · Time left4d 21h left (Thu, 16:00)"
"JVC  X700 4K (DILA) Home Theater Projector, Brand New Bulb",1100.0,"0 bids · Time left5d 7h left (Fri, 02:04)"
New listingSony VPL-HE45ES.  Black.  Excellent Condition.  New Lamp Recently Installed,350.0,"0 bids · Time left6d 17h left (Sat, 12:11)"
SONY VPL-EX4 3 LCD PROJECTOR Desktop VGA Composite S Video NO REMOTE WorkingCharity item,7.99,"1 bid · Time left2d 18h left (Tue, 13:32)"
Sony VPL-VW50  projector,380.0,"0 bids · Time left3d 17h left (Wed, 11:57)"
Sony VPL-CS3 LCD Projector,20.0,"0 bids · Time left17h 13m left (Sun, 12:05)"
Sony Data Projector VPL-EX175,50.5,"0 bids · Time left1d 16h left (Mon, 11:30)"
SONY VPL-PX15 PROJECTOR for parts. Still works but not fully tested.,20.0,"0 bids · Time left13h 26m left (Sun, 08:18)"
SONY DATA PROJECTOR VPL-CX70 NOT TESTED,18.0,"0 bids · Time left3d 11h left (Wed, 05:59)"
"SONY VPL-PX15 Data Projector XGA with Cables, & InstructionsCharity item",39.99,"0 bids · Time left7d 17h left (10/03, 12:36)"
Sony Data Projector VPL - EX226,75.0,"0 bids · Time left18h 32m left (Sun, 13:24)"
Sony VPL CS6 LED Data Projector With Remote & Case,10.0,"0 bids · Time left4d 20h left (Thu, 15:00)"
"SONY VPL-EX3 DATA LCD PROJECTOR with CASE, CABLES",24.99,"0 bids · Time left1d 14h left (Mon, 09:41)"
Sony VPL-EW7 ProjectorWXGA Conference Room Projector,200.0,"0 bids · Time left1d 19h left (Mon, 14:21)"
Sony VPL-CX5 Projector,39.0,"0 bids · Time left7h left (Sun, 01:52)"
SONY Projector with Bag & Leads & Remote,43.99,"0 bids · Time left15h 31m left (Sun, 10:23)"
